Features;IO-N-10;IO-N-20;IO-N-30;IO-N-40;IO-N-50;IO-N-60;IO-N-70;IO-N-80;IO-N-90;IO-N-100;IO-N-200;IO-N-300;IO-N-400;IO-N-500;IO-N-600;IO-N-700;IO-N-800;IO-N-900;IO-N-1000;IO-N-2000;IO-S1-10;IO-S1-20;IO-S1-30;IO-S1-40;IO-S1-50;IO-S1-60;IO-S1-70;IO-S1-80;IO-S1-90;IO-S1-100;IO-S1-200;IO-S1-300;IO-S1-400;IO-S1-500;IO-S1-600;IO-S1-700;IO-S1-800;IO-S1-1000;IO-S1-2000;IO-S2-10;IO-S2-20;IO-S2-30;IO-S2-40;IO-S2-50;IO-S2-60;IO-S2-70;IO-S2-80;IO-S2-90;IO-S2-100;IO-S2-200;IO-S2-300;IO-S2-400;IO-S2-500;IO-S2-600;IO-S2-700;IO-S2-800;IO-S2-900;IO-S2-1000;IO-S2-2000;IO-S3-10;IO-S3-20;IO-S3-30;IO-S3-40;IO-S3-50;IO-S3-60;IO-S3-70;IO-S3-80;IO-S3-90;IO-S3-100;IO-S3-200;IO-S3-300;IO-S3-400;IO-S3-500;IO-S3-600;IO-S3-700;IO-S3-800;IO-S3-900;IO-S3-1000;IO-S3-2000
system.cpu.exec_context.thread_0.numCallsReturns;5258182;5258242;5258302;5258362;5258422;5258482;5259112;5259172;5259232;5259292;5261032;5262202;5263942;5265112;5266852;5268022;5269762;5271502;5272672;5283856;5278404;5278518;5278482;5278608;5278638;5278764;5279346;5279334;5279424;5279508;5281170;5282334;5284080;5285220;5286960;5288106;5289870;5292816;5325328;5460688;5663050;5865388;6067750;6270130;6472246;6675118;6877000;7079080;7281514;9301594;11310670;13321270;15331264;17342134;19351444;21361750;23371912;25381870;45481922;25984504;25984564;25984624;25984684;25984744;25984804;25985434;25985494;25985554;25985614;25987354;25988524;25990264;25991434;25993174;25994344;25996084;25997824;25998994;7377456
system.cpu.exec_context.thread_0.numCondCtrlInsts;62216692;96432308;130647950;164863578;199079189;233294828;270914932;305130568;339346204;373561835;722527146;1068087928;1417053215;1762614012;2111579292;2457140093;2806105395;3155070700;3500631503;6897567636;62299870;96515614;130731016;164946804;199162335;233378198;270998118;305213618;339429310;373645029;722610140;1068171081;1417136363;1762697095;2111662366;2457223106;2806188465;3500714681;6976821210;63049112;98096827;133144437;168192123;203239850;238286993;276739061;311785605;346832749;381880641;739155516;1093014755;1450283384;1804147534;2161416948;2515279363;2872547163;3229814256;3583677289;7142712009;146288122;180503738;214719380;248935008;283150619;317366258;354986362;389201998;423417634;457633265;806598576;1152159358;1501124645;1846685442;2195650722;2541211523;2890176825;3239142130;3584702933;6985144523
system.cpu.exec_context.thread_0.numIntInsts;2289075506;4162391468;6035707591;7909023640;9782339551;11655655650;13601628600;15474944686;17348260772;19221576850;38100051604;56905869061;75784343620;94590161169;1,13469E+11;1,32274E+11;1,51153E+11;1,70031E+11;1,88837E+11;3,68656E+11;2290204608;4163522498;6036835069;7910153510;9783468261;11656787392;13602757926;15476071788;17349388794;19222706040;38101177814;56906996822;75785471304;94591287920;1,1347E+11;1,32276E+11;1,51154E+11;1,88838E+11;3,77334E+11;2300376365;4184987500;6069597209;7954208010;9838819491;11723421872;13680687936;15565281536;17449883512;19334497225;38325752167;57244109057;76235183006;95153600448;1,14145E+11;1,33063E+11;1,52054E+11;1,71045E+11;1,89964E+11;3,79584E+11;3432944248;5306260210;7179576333;9052892382;10926208293;12799524392;14745497342;16618813428;18492129514;20365445592;39243920346;58049737803;76928212362;95734029911;1,14613E+11;1,33418E+11;1,52297E+11;1,71175E+11;1,89981E+11;3,77447E+11
system.cpu.exec_context.thread_0.numFpInsts;5406794371;10481909331;15557024291;20632139251;25707254211;30782369171;35997857947;41072972907;46148087867;51223202827;1,02255E+11;1,53147E+11;2,04179E+11;2,5507E+11;3,06102E+11;3,56993E+11;4,08025E+11;4,59057E+11;5,09949E+11;9,82638E+11;5406834549;10481949509;15557064469;20632179429;25707294389;30782409349;35997898125;41073013085;46148128045;51223243005;1,02255E+11;1,53147E+11;2,04179E+11;2,5507E+11;3,06102E+11;3,56994E+11;4,08025E+11;5,09949E+11;1,01971E+12;5407196151;10482712891;15558229631;20633746371;25709263111;30784779851;36000670407;41076187147;46151703887;51227220627;1,02263E+11;1,53159E+11;2,04195E+11;2,5509E+11;3,06126E+11;3,57022E+11;4,08058E+11;4,59093E+11;5,09989E+11;1,01979E+12;5446972371;10522087331;15597202291;20672317251;25747432211;30822547171;36038035947;41113150907;46188265867;51263380827;1,02295E+11;1,53187E+11;2,04219E+11;2,5511E+11;3,06142E+11;3,57034E+11;4,08066E+11;4,59097E+11;5,09989E+11;1,01971E+12
system.cpu.exec_context.thread_0.numVecInsts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numIntRegReads;2238546698;4028122221;5817697899;7607273539;9396849015;11186424666;13047865070;14837440717;16627016364;18416592036;36456078214;54423699238;72463185168;90430806206;1,0847E+11;1,26438E+11;1,44477E+11;1,62517E+11;1,80485E+11;3,51799E+11;2240050730;4029628774;5819199796;7608778567;9398352518;11187932196;13049369376;14838942147;16628518983;18418096211;36457578436;54425201680;72464687396;90432307294;1,08472E+11;1,26439E+11;1,44479E+11;1,80486E+11;3,60595E+11;2253599805;4058221136;5862840489;7667461338;9472083128;11276692961;13153176498;14957774824;16762384223;18567008893;36756727457;54874274335;73063766613;91181395542;1,09371E+11;1,27488E+11;1,45678E+11;1,63867E+11;1,81985E+11;3,63593E+11;3761395908;5550971431;7340547109;9130122749;10919698225;12709273876;14570714280;16360289927;18149865574;19939441246;37978927424;55946548448;73986034378;91953655416;1,09993E+11;1,27961E+11;1,46E+11;1,6404E+11;1,82007E+11;3,60746E+11
system.cpu.exec_context.thread_0.numIntRegWrites;437148064;685320194;933492433;1181664639;1429836735;1678008957;1943212304;2191384518;2439556732;2687728947;5203513477;7702266608;10218050972;12716804117;15232588515;17731341727;20247126266;22762910777;25261664015;49972720514;437969862;686143372;934313055;1182486977;1430658233;1678832699;1944034240;2192204900;2440377756;2688550841;5204333210;7703087649;10218871911;12717624415;15233408685;17732161282;20247946403;25262485302;50353190987;445372974;701766117;958158155;1214551025;1470944393;1727331254;2000754151;2257134683;2513521353;2769916328;5367787547;7948468755;10546226888;13126954483;15724720804;18305429209;20903178661;23500921643;26081638227;51991071238;1269122310;1517294440;1765466679;2013638885;2261810981;2509983203;2775186550;3023358764;3271530978;3519703193;6035487723;8534240854;11050025218;13548778363;16064562761;18563315973;21079100512;23594885023;26093638261;50435540198
system.cpu.exec_context.thread_0.numFpRegReads;8583809381;16720725821;24857642261;32994558701;41131475141;49268391581;57603286644;65740203084;73877119524;82014035964;1,63779E+11;2,45346E+11;3,27111E+11;4,08679E+11;4,90444E+11;5,72011E+11;6,53776E+11;7,35541E+11;8,17108E+11;1,5612E+12;8583879969;16720796409;24857712849;32994629289;41131545729;49268462169;57603357232;65740273672;73877190112;82014106552;1,63779E+11;2,45346E+11;3,27111E+11;4,08679E+11;4,90444E+11;5,72011E+11;6,53776E+11;8,17108E+11;1,63397E+12;8584515261;16722137581;24859759901;32997382221;41135004541;49272626861;57608227804;65745850124;73883472444;82021094764;1,63793E+11;2,45367E+11;3,2714E+11;4,08714E+11;4,90486E+11;5,7206E+11;6,53832E+11;7,35605E+11;8,17179E+11;1,63411E+12;8654397381;16791313821;24928230261;33065146701;41202063141;49338979581;57673874644;65810791084;73947707524;82084623964;1,6385E+11;2,45417E+11;3,27182E+11;4,08749E+11;4,90514E+11;5,72081E+11;6,53847E+11;7,35612E+11;8,17179E+11;1,63397E+12
system.cpu.exec_context.thread_0.numFpRegWrites;4762939810;9266530770;13770121730;18273712690;22777303650;27280894610;31914156172;36417747132;40921338092;45424929052;90720179856;1,35886E+11;1,81181E+11;2,26347E+11;2,71642E+11;3,16807E+11;3,62103E+11;4,07398E+11;4,52564E+11;8,70505E+11;4762975116;9266566076;13770157036;18273747996;22777338956;27280929916;31914191478;36417782438;40921373398;45424964358;90720215162;1,35886E+11;1,81181E+11;2,26347E+11;2,71642E+11;3,16807E+11;3,62103E+11;4,52564E+11;9,04997E+11;4763292870;9267236890;13771180910;18275124930;22779068950;27283012970;31916627592;36420571612;40924515632;45428459652;90727241056;1,35896E+11;1,81195E+11;2,26364E+11;2,71663E+11;3,16832E+11;3,62131E+11;4,0743E+11;4,52599E+11;9,05068E+11;4798245810;9301836770;13805427730;18309018690;22812609650;27316200610;31949462172;36453053132;40956644092;45460235052;90755485856;1,35921E+11;1,81216E+11;2,26382E+11;2,71677E+11;3,16843E+11;3,62138E+11;4,07433E+11;4,52599E+11;9,05001E+11
system.cpu.exec_context.thread_0.numVecRegReads;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numVecRegWrites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numVecPredRegReads;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numVecPredRegWrites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numCCRegReads;343239589;535633284;728027118;920420877;1112814539;1305208357;1516729758;1709123561;1901517364;2093911137;4056104442;5999169808;7961362980;9904428436;11866621568;13809687042;15771880297;17734073567;19677139051;38728403080;343860877;536255384;728647706;921042477;1113435639;1305830821;1517351114;1709744025;1902138196;2094532501;4056724548;5999790778;7961983930;9905048972;11867242052;13810307144;15772500759;19677760181;39223636258;349456601;548065134;746673038;945281409;1143890039;1342494931;1560230308;1758831439;1957436266;2156045911;4180315342;6185374674;8209590572;10214678780;12238899534;14243976790;16268187535;18292394115;20297476027;40462957744;970444214;1162837909;1355231743;1547625502;1740019164;1932412982;2143934383;2336328186;2528721989;2721115762;4683309067;6626374433;8588567605;10531633061;12493826193;14436891667;16399084922;18361278192;20304343676;39285728742
system.cpu.exec_context.thread_0.numCCRegWrites;222732472;344963776;467195144;589426479;711657759;833889113;968134214;1090365570;1212596926;1334828280;2581169388;3815496548;5061837580;6296164807;7542505814;8776833047;10023174128;11269515209;12503842458;24401181640;223080508;345312357;467542697;589774715;712005650;834237991;968482274;1090713068;1212944655;1335176399;2581516623;3815844564;5062185509;6296512506;7542853439;8777180429;10023521734;12504190560;24919986978;226215475;351928489;477640979;603353823;729066879;854777410;992503656;1118211631;1243922225;1369635962;2650744719;3919796399;5200883848;6469958055;7751048926;9020115208;10301198965;11582279680;12851347673;25614123779;574294009;696525313;818756681;940988016;1063219296;1185450650;1319695751;1441927107;1564158463;1686389817;2932730925;4167058085;5413399117;6647726344;7894067351;9128394584;10374735665;11621076746;12855403995;24954782547
system.cpu.exec_context.thread_0.numMiscRegReads;1982096794;3705881270;5429665826;7153450342;8877234802;10601019348;12382536279;14106320817;15830105355;17553889875;34907200105;52202777744;69556087897;86851665583;1,04205E+11;1,21501E+11;1,38854E+11;1,56207E+11;1,73503E+11;3,38762E+11;1982591991;3706377386;5430160274;7153945923;8877729848;10601515703;12383031624;14106815032;15830600039;17554385053;34907693909;52203271926;69556582117;86852159318;1,04205E+11;1,21501E+11;1,38854E+11;1,73503E+11;3,46806E+11;1987053644;3715791937;5444529699;7173267918;8902006432;10630740577;12417210325;14145940366;15874674136;17603413672;35006181383;52351075893;69753726329;87098644044;1,04501E+11;1,21846E+11;1,39249E+11;1,56651E+11;1,73996E+11;3,47792E+11;2485031406;4208815882;5932600438;7656384954;9380169414;11103953960;12885470891;14609255429;16333039967;18056824487;35410134717;52705712356;70059022509;87354600195;1,04708E+11;1,22003E+11;1,39357E+11;1,5671E+11;1,74006E+11;3,46856E+11
system.cpu.exec_context.thread_0.numMiscRegWrites;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
system.cpu.exec_context.thread_0.numMemRefs;1750476109;3315004313;4879532545;6444060767;8008588967;9573117195;11186963969;12751492195;14316020421;15880548639;31624468027;47319068799;63062988156;78757588937;94501508288;1,10196E+11;1,2594E+11;1,41684E+11;1,57379E+11;3,06706E+11;1750720871;3315249550;4879776922;6444305729;8008833654;9573362547;11187208811;12751736447;14316264918;15880793386;31624712066;47319313004;63063232383;78757832913;94501752249;1,10196E+11;1,2594E+11;1,57379E+11;3,14621E+11;1752926260;3319903017;4886879499;6453856222;8020833102;9587807705;11204102514;12771075005;14338049401;15905026793;31673390052;47392359641;63160659463;78879640569;94647942950;1,10367E+11;1,26135E+11;1,41904E+11;1,57622E+11;3,15108E+11;1999287621;3563815825;5128344057;6692872279;8257400479;9821928707;11435775481;13000303707;14564831933;16129360151;31873279539;47567880311;63311799668;79006400449;94750319800;1,10445E+11;1,26189E+11;1,41933E+11;1,57627E+11;3,14646E+11
system.cpu.exec_context.thread_0.numLoadInsts;1092306173;2085310329;3078314510;4071318680;5064322834;6057327013;7088944408;8081948583;9074952758;10067956924;20075225138;30043880078;40051148271;50019803219;60027071404;69995726359;80002994563;90010262775;99978917727;1,943E+11;1092451331;2085455768;3078459437;4071463954;5064467943;6057472533;7089089608;8082093443;9075097759;10068102081;20075369874;30044024956;40051293161;50019947959;60027216135;69995870961;80003139290;99979062664;1,99897E+11;1093759233;2088215547;3082671687;4077127974;5071584354;6066039399;7099108647;8093562429;9088017372;10082474062;20104239170;30087350334;40109082339;50092201008;60113934562;70097049561;80118779900;90140509129;1,00124E+11;2,00186E+11;1239789184;2232793340;3225797521;4218801691;5211805845;6204810024;7236427419;8229431594;9222435769;10215439935;20222708149;30191363089;40198631282;50167286230;60174554415;70143209370;80150477574;90157745786;1,00126E+11;1,99912E+11
system.cpu.exec_context.thread_0.numStoreInsts;658169936;1229693984;1801218035;2372742087;2944266133;3515790182;4098019561;4669543612;5241067663;5812591715;11549242889;17275188721;23011839885;28737785718;34474436884;40200382721;45937033897;51673685073;57399630910;1,12405E+11;658269540;1229793782;1801317485;2372841775;2944365711;3515890014;4098119203;4669643004;5241167159;5812691305;11549342192;17275288048;23011939222;28737884954;34474536114;40200481866;45937133126;57399730277;1,14724E+11;659167027;1231687470;1804207812;2376728248;2949248748;3521768306;4104993867;4677512576;5250032029;5822552731;11569150882;17305009307;23051577124;28787439561;34534008388;40269868286;46016435013;51763001150;57498863089;1,14922E+11;759498437;1331022485;1902546536;2474070588;3045594634;3617118683;4199348062;4770872113;5342396164;5913920216;11650571390;17376517222;23113168386;28839114219;34575765385;40301711222;46038362398;51775013574;57500959411;1,14734E+11
system.cpu.exec_context.thread_0.numIdleCycles;0,002;0,002;0,002001;0,001998;0,002002;0,001999;0,001998;0,002001;0,001997;0,001997;0,001998;0,00201;0,00201;0,002008;0,002008;0,00199;0,002007;0,002032;0,002007;0,001938;0,002;0,002;0,002001;0,001998;0,001998;0,001999;0,001998;0,002001;0,001997;0,001997;0,001998;0,00201;0,00201;0,002008;0,002008;0,00199;0,002007;0,002007;0,002006;0,002;0,002;0,001999;0,001999;0,002002;0,001997;0,002002;0,001998;0,002001;0,002;0,002002;0,001989;0,002013;0,002012;0,002012;0,001994;0,002011;0,002036;0,00201;0,00201;0,002;0,001999;0,002;0,002001;0,002002;0,001998;0,002003;0,001999;0,001999;0,001999;0,002;0,001998;0,001985;0,002016;0,002014;0,001996;0,002012;0,002037;0,00201;0,002006
system.cpu.exec_context.thread_0.numBusyCycles;8244627911;15735075781;23225523852;30715971830;38206419656;45696867700;53407673642;60898121666;68388569690;75879017694;1,51224E+11;2,26349E+11;3,01694E+11;3,76819E+11;4,52164E+11;5,27289E+11;6,02634E+11;6,7798E+11;7,53104E+11;1,45441E+12;8246025563;15736475794;23226919537;30717370438;38207816859;45698268498;53409071604;60899516844;68389966021;75880415401;1,51226E+11;2,2635E+11;3,01696E+11;3,7682E+11;4,52166E+11;5,27291E+11;6,02636E+11;7,53106E+11;1,50568E+12;8258616630;15763045977;23267473711;30771902722;38276332556;45780751210;53505536095;61009944064;68514362062;76018794573;1,51504E+11;2,26768E+11;3,02252E+11;3,77516E+11;4,53001E+11;5,28265E+11;6,0375E+11;6,79234E+11;7,54498E+11;1,50846E+12;9660896825;17151344695;24641792766;32132240744;39622688570;47113136614;54823942556;62314390580;69804838604;77295286608;1,5264E+11;2,27765E+11;3,03111E+11;3,78235E+11;4,53581E+11;5,28705E+11;6,04051E+11;6,79396E+11;7,54521E+11;1,50582E+12
system.cpu.exec_context.thread_0.notIdleFraction;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
system.cpu.exec_context.thread_0.idleFraction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numBranches;76695944;115896040;155096162;194296270;233496360;272696479;316103603;355303719;394503835;433703946;834119138;1230327259;1630742426;2026950563;2427365723;2823573864;3223989046;3624404231;4020612374;8003021329;76821604;116021922;155221640;194422022;233621982;272822423;316229297;355429143;394629371;433829604;834244463;1230452690;1630867865;2027075885;2427491037;2823699077;3224114357;4020737851;8008163322;77953718;118410871;158867896;199325030;239782232;280238388;324902328;365357488;405813560;446271017;859237264;1267963662;1680902988;2089635227;2502575770;2911305094;3324243113;3737180273;4145911554;8258450186;204200493;243400589;282600711;321800819;361000909;400201028;443608152;482808268;522008384;561208495;961623687;1357831808;1758246975;2154455112;2554870272;2951078413;3351493595;3751908780;4148116923;8020786896
system.cpu.exec_context.thread_0.statExecutedInstType::No_OpClass;5283127;5283177;5283227;5283278;5283328;5283378;5283831;5283881;5283931;5283981;5285287;5286192;5287496;5288398;5289705;5290609;5291918;5293225;5294129;5300055;5301881;5301967;5301953;5302048;5302078;5302172;5302593;5302595;5302665;5302731;5303985;5304886;5306194;5307076;5308383;5309271;5310596;5312831;5331333;5470861;5658509;5846141;6033790;6221450;6408934;6596945;6784273;6971733;7159429;9033595;10900404;12768248;14635666;16503693;18370657;20238310;22105865;23973261;42643123;24373676;24373726;24373776;24373827;24373877;24373927;24374380;24374430;24374480;24374530;24375836;24376741;24378045;24378947;24380254;24381158;24382467;24383774;24384678;7221486
system.cpu.exec_context.thread_0.statExecutedInstType::IntAlu;1320871886;2393126044;3465380335;4537634556;5609888667;6682142938;7787138520;8859392780;9931647040;11003901298;21791926674;32547210352;43335235576;54090519355;64878544544;75633828348;86421853655;97209878975;1,07965E+11;2,07977E+11;1321757132;2394012765;3466264328;4538520382;5610773598;6683030246;7788023920;8860276508;9932531459;11004786637;21792809716;32548094731;43336119870;54091402948;64879428013;75634711155;86422737090;1,07966E+11;2,15716E+11;1329731800;2410841661;3491950379;4573059945;5654170042;6735273205;7849122922;8930219331;10011322259;11092434094;21968884870;32812420895;43688746531;54532331270;65408665538;76252229906;87128546230;98004855747;1,08848E+11;2,17481E+11;2217132906;3289387064;4361641355;5433895576;6506149687;7578403958;8683399540;9755653800;10827908060;11900162318;22688187694;33443471372;44231496596;54986780375;65774805564;76530089368;87318114675;98106139995;1,08861E+11;2,15805E+11
system.cpu.exec_context.thread_0.statExecutedInstType::IntMult;400151;800151;1200151;1600151;2000151;2400151;2800211;3200211;3600211;4000213;8000335;12000396;16000518;20000579;24000701;28000762;32000884;36001006;40001069;2225;401232;801219;1201239;1601224;2001229;2401230;2801284;3201310;3601299;4001303;8001437;12001545;16001654;20001729;24001845;28001913;32002027;40002212;80039075;410866;821670;1232462;1643255;2054049;2464910;2875791;3286698;3697590;4108375;8217504;12332185;16447330;20562503;24677621;28792873;32908043;37023175;41137986;82315215;1267748;1667748;2067748;2467748;2867748;3267748;3667808;4067808;4467808;4867810;8867932;12867993;16868115;20868176;24868298;28868359;32868481;36868603;40868666;80123183
system.cpu.exec_context.thread_0.statExecutedInstType::IntDiv;1823;1823;1823;1830;1830;1830;1914;1914;1914;1914;2082;2180;2334;2411;2586;2677;2866;3041;3132;4574;2222;2222;2222;2229;2229;2229;2313;2313;2313;2313;2481;2579;2733;2810;2985;3076;3265;3531;17671;5813;9803;13793;17790;21780;25770;29844;33834;37824;41814;81882;121880;161934;201911;241986;281977;322066;362141;402132;815272;400823;400823;400823;400830;400830;400830;400914;400914;400914;400914;401082;401180;401334;401411;401586;401677;401866;402041;402132;56745
system.cpu.exec_context.thread_0.statExecutedInstType::FloatAdd;800170908;1546738178;2293305448;3039872718;3786439988;4533007258;5306376116;6052943386;6799510656;7546077926;15065353802;22557828090;30077103966;37569578254;45088854130;52581328418;60100604294;67619880170;75112354458;1,47406E+11;800172504;1546739774;2293307044;3039874314;3786441584;4533008854;5306377712;6052944982;6799512252;7546079522;15065355398;22557829686;30077105562;37569579850;45088855726;52581330014;60100605890;75112356054;1,50198E+11;800186868;1546770098;2293353328;3039936558;3786519788;4533103018;5306487836;6053071066;6799654296;7546237526;15065673002;22558306890;30077742366;37570376254;45089811730;52582445618;60101881094;67621316570;75113950458;1,50201E+11;801766908;1548334178;2294901448;3041468718;3788035988;4534603258;5307972116;6054539386;6801106656;7547673926;15066949802;22559424090;30078699966;37571174254;45090450130;52582924418;60102200294;67621476170;75113950458;1,50198E+11
system.cpu.exec_context.thread_0.statExecutedInstType::FloatCmp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatCvt;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMultAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatDiv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMisc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatSqrt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAdd;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAddAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAlu;1001485;2001505;3001525;4001545;5001565;6001585;7001709;8001729;9001749;10001769;20002177;30002481;40002889;50003193;60003601;70003905;80004313;90004721;100005025;73732689;1007899;2007919;3007939;4007959;5007979;6007999;7008123;8008143;9008163;10008183;20008591;30008895;40009303;50009607;60010015;70010319;80010727;100011439;200015075;1065625;2129785;3193945;4258105;5322265;6386425;7450689;8514849;9579009;10643169;21284977;31926681;42568489;53210193;63852001;74493705;85135513;95777321;106419025;212836661;7415485;8415505;9415525;10415545;11415565;12415585;13415709;14415729;15415749;16415769;26416177;36416481;46416889;56417193;66417601;76417905;86418313;96418721;106419025;200650061
system.cpu.exec_context.thread_0.statExecutedInstType::SimdCmp;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24
